2023-06-08 15:25:48,418 [1] INFO  TechnoLogica.RegiX.Adapters.WCFAdapterHost.Global [(null)] - Logger in global created
2023-06-08 15:25:48,532 [1] WARN  TechnoLogica.RegiX.Adapters.LogstashLogger.LogstashAdapterLogger [(null)] - Logging address not set!
2023-06-08 17:16:15,377 [1] INFO  TechnoLogica.RegiX.Adapters.WCFAdapterHost.Global [(null)] - Logger in global created
2023-06-08 17:16:15,489 [1] WARN  TechnoLogica.RegiX.Adapters.LogstashLogger.LogstashAdapterLogger [(null)] - Logging address not set!
2023-06-08 17:17:22,369 [1] INFO  TechnoLogica.RegiX.Adapters.WCFAdapterHost.Global [(null)] - Logger in global created
2023-06-08 17:17:23,104 [1] WARN  TechnoLogica.RegiX.Adapters.LogstashLogger.LogstashAdapterLogger [(null)] - Logging address not set!
2023-06-08 17:17:36,074 [11] INFO  TechnoLogica.RegiX.Adapters.Common.BaseAdapterService [(null)] - { MethodName = GetStudentDocument, CallId = 0, CallContext = , ClientIPAddress = , EIDToken = , OrganizationUnit = , CitizenEGN = , ConsumerCertificateThumbprint = , EmployeeEGN = , OrganizationEIK = , SignResult = False, ReturnAccessMatrix = False, Guid = ccacc70e-f4d5-4e73-bcab-d5e9b00cf6ee, OtherData = { Request = <StudentDocumentRequestType xmlns="http://schemas.datacontract.org/2004/07/TechnoLogica.RegiX.NapooStudentDocumentsAdapter" xmlns:i="http://www.w3.org/2001/XMLSchema-instance"><documentRegistrationNumberField>123456</documentRegistrationNumberField><studentIdentifierField>123456789</studentIdentifierField></StudentDocumentRequestType>, Guid = ccacc70e-f4d5-4e73-bcab-d5e9b00cf6ee } }
2023-06-08 17:19:48,961 [13] INFO  TechnoLogica.RegiX.Adapters.Common.BaseAdapterService [(null)] - { MethodName = GetStudentDocument, CallId = 0, CallContext = , ClientIPAddress = , EIDToken = , OrganizationUnit = , CitizenEGN = , ConsumerCertificateThumbprint = , EmployeeEGN = , OrganizationEIK = , SignResult = False, ReturnAccessMatrix = False, Guid = e0061f89-6fc0-4867-a1f9-aa0d7400297b, OtherData = { Request = <StudentDocumentRequestType xmlns="http://schemas.datacontract.org/2004/07/TechnoLogica.RegiX.NapooStudentDocumentsAdapter" xmlns:i="http://www.w3.org/2001/XMLSchema-instance"><documentRegistrationNumberField>123456</documentRegistrationNumberField><studentIdentifierField>123456789</studentIdentifierField></StudentDocumentRequestType>, Guid = e0061f89-6fc0-4867-a1f9-aa0d7400297b } }
2023-06-08 17:20:13,836 [13] INFO  TechnoLogica.RegiX.Adapters.Common.BaseAdapterService [(null)] - { MethodName = GetStudentDocument, CallId = 0, CallContext = , ClientIPAddress = , EIDToken = , OrganizationUnit = , CitizenEGN = , ConsumerCertificateThumbprint = , EmployeeEGN = , OrganizationEIK = , SignResult = False, ReturnAccessMatrix = False, Guid = b8c7d479-cda8-498d-a656-ce4b27201b06, OtherData = { Request = <StudentDocumentRequestType xmlns="http://schemas.datacontract.org/2004/07/TechnoLogica.RegiX.NapooStudentDocumentsAdapter" xmlns:i="http://www.w3.org/2001/XMLSchema-instance"><documentRegistrationNumberField>123456</documentRegistrationNumberField><studentIdentifierField>123456789</studentIdentifierField></StudentDocumentRequestType>, Guid = b8c7d479-cda8-498d-a656-ce4b27201b06 } }
2023-06-09 12:18:10,143 [1] INFO  TechnoLogica.RegiX.Adapters.WCFAdapterHost.Global [(null)] - Logger in global created
2023-06-09 12:18:10,249 [1] WARN  TechnoLogica.RegiX.Adapters.LogstashLogger.LogstashAdapterLogger [(null)] - Logging address not set!
2023-06-09 12:18:11,249 [20] INFO  TechnoLogica.RegiX.Adapters.Common.BaseAdapterService [(null)] - { MethodName = GetStudentDocument, CallId = 0, CallContext = , ClientIPAddress = , EIDToken = , OrganizationUnit = , CitizenEGN = , ConsumerCertificateThumbprint = , EmployeeEGN = , OrganizationEIK = , SignResult = False, ReturnAccessMatrix = False, Guid = c74f0849-202f-400f-980d-255507546fd0, OtherData = { Request = <StudentDocumentRequestType xmlns="http://schemas.datacontract.org/2004/07/TechnoLogica.RegiX.NapooStudentDocumentsAdapter" xmlns:i="http://www.w3.org/2001/XMLSchema-instance"><documentRegistrationNumberField>123456</documentRegistrationNumberField><studentIdentifierField>123456789</studentIdentifierField></StudentDocumentRequestType>, Guid = c74f0849-202f-400f-980d-255507546fd0 } }
2023-06-09 14:36:24,658 [19] INFO  TechnoLogica.RegiX.Adapters.Common.BaseAdapterService [(null)] - { MethodName = GetStudentDocument, CallId = 0, CallContext = , ClientIPAddress = , EIDToken = , OrganizationUnit = , CitizenEGN = , ConsumerCertificateThumbprint = , EmployeeEGN = , OrganizationEIK = , SignResult = False, ReturnAccessMatrix = False, Guid = fd4a5947-2ea3-46a8-93fe-c7760ec10697, OtherData = { Request = <StudentDocumentRequestType xmlns="http://schemas.datacontract.org/2004/07/TechnoLogica.RegiX.NapooStudentDocumentsAdapter" xmlns:i="http://www.w3.org/2001/XMLSchema-instance"><documentRegistrationNumberField>123456</documentRegistrationNumberField><studentIdentifierField>123456789</studentIdentifierField></StudentDocumentRequestType>, Guid = fd4a5947-2ea3-46a8-93fe-c7760ec10697 } }
2023-06-09 14:37:22,062 [65] INFO  TechnoLogica.RegiX.Adapters.Common.BaseAdapterService [(null)] - { MethodName = GetStudentDocument, CallId = 0, CallContext = , ClientIPAddress = , EIDToken = , OrganizationUnit = , CitizenEGN = , ConsumerCertificateThumbprint = , EmployeeEGN = , OrganizationEIK = , SignResult = False, ReturnAccessMatrix = False, Guid = 4958fe54-a76b-4399-a37f-a178503b22f3, OtherData = { Request = <StudentDocumentRequestType xmlns="http://schemas.datacontract.org/2004/07/TechnoLogica.RegiX.NapooStudentDocumentsAdapter" xmlns:i="http://www.w3.org/2001/XMLSchema-instance"><documentRegistrationNumberField>10-10</documentRegistrationNumberField><studentIdentifierField>7409273092</studentIdentifierField></StudentDocumentRequestType>, Guid = 4958fe54-a76b-4399-a37f-a178503b22f3 } }
2023-06-09 14:39:58,628 [66] INFO  TechnoLogica.RegiX.Adapters.Common.BaseAdapterService [(null)] - { MethodName = GetDocumentsByStudent, CallId = 0, CallContext = , ClientIPAddress = , EIDToken = , OrganizationUnit = , CitizenEGN = , ConsumerCertificateThumbprint = , EmployeeEGN = , OrganizationEIK = , SignResult = False, ReturnAccessMatrix = False, Guid = 057ac920-339d-403d-b75a-53bc464fa789, OtherData = { Request = <DocumentsByStudentRequestType xmlns="http://schemas.datacontract.org/2004/07/TechnoLogica.RegiX.NapooStudentDocumentsAdapter" xmlns:i="http://www.w3.org/2001/XMLSchema-instance"><studentIdentifierField>7409273092</studentIdentifierField></DocumentsByStudentRequestType>, Guid = 057ac920-339d-403d-b75a-53bc464fa789 } }
